"loan_id","account_id","date","amount","duration","payments","status"
"5226","1318","11/10/1998","185544","36","5154","C"
"5229","1329","6/9/1997","23520","12","1960","A"
"5236","1374","15/9/1997","389136","48","8107","C"
"5237","1375","29/8/1995","45336","24","1889","A"
"5241","1389","2/9/1998","125472","24","5228","C"
"5245","1407","17/1/1998","125472","24","5228","C"
"5253","1447","3/6/1997","100080","48","2085","C"
"5260","1480","19/1/1998","123300","36","3425","C"
"5265","1498","7/10/1998","165780","60","2763","C"
"5269","1527","19/11/1994","164052","36","4557","B"
"5270","1528","21/7/1997","191088","48","3981","C"
"5281","1580","27/11/1997","194256","24","8094","C"
"5282","1583","24/8/1996","388512","48","8094","D"
"5285","1603","6/2/1994","78936","12","6578","A"
"5287","1638","26/1/1998","64224","24","2676","C"
"5293","1656","29/10/1998","189792","48","3954","C"
"5301","1698","6/7/1996","141948","36","3943","C"
"5304","1718","20/8/1998","172272","24","7178","C"
"5310","1762","28/4/1995","248148","36","6893","A"
"5311","1766","15/6/1996","30060","60","501","C"
"5312","1772","13/3/1996","202788","36","5633","C"
"5313","1776","27/5/1998","43200","24","1800","C"
"5314","1787","5/7/1993","96396","12","8033","B"
"5316","1801","11/7/1993","165960","36","4610","A"
"5318","1808","30/9/1998","385584","48","8033","C"
"5319","1811","23/6/1994","239460","60","3991","C"
"5320","1819","11/1/1998","143676","36","3991","C"
"5325","1843","3/8/1993","105804","36","2939","A"
"5329","1862","16/10/1996","396120","60","6602","C"
"5332","1869","29/1/1998","37944","36","1054","C"
"5334","1876","10/9/1998","209040","24","8710","C"
"5337","1886","31/7/1996","162468","36","4513","C"
"5338","1888","30/8/1997","57360","12","4780","B"
"5343","1906","8/10/1997","44952","24","1873","C"
"5346","1928","6/12/1998","55632","24","2318","C"
"5350","1967","21/4/1996","249312","48","5194","C"
"5351","1978","4/12/1994","205200","36","5700","A"
"5352","1993","15/4/1995","68400","12","5700","B"
"5354","2000","14/7/1998","290820","60","4847","C"
"5358","2018","21/1/1997","38520","12","3210","A"
"5360","2035","25/1/1998","176328","36","4898","C"
"5363","2051","22/4/1997","293880","60","4898","D"
"5365","2055","19/7/1998","271260","60","4521","C"
"5366","2062","29/10/1996","86184","12","7182","A"
"5367","2064","26/8/1997","83628","36","2323","C"
"5368","2073","5/10/1998","44640","24","1860","C"
"5369","2080","12/9/1997","214596","36","5961","C"
"5375","2106","3/10/1996","101520","12","8460","A"
"5377","2116","4/8/1997","92400","12","7700","A"
"5382","2134","17/3/1997","22932","36","637","C"
"5384","2142","7/3/1998","23328","12","1944","C"
"5385","2143","9/9/1996","71460","36","1985","C"
"5388","2153","28/11/1996","61560","12","5130","A"
"5389","2165","22/8/1997","78600","24","3275","C"
"5390","2167","30/10/1994","170256","24","7094","A"
"5395","2176","30/7/1994","299088","36","8308","B"
"5398","2187","4/11/1997","53472","12","4456","A"
"5409","2218","18/11/1995","182040","60","3034","C"
"5413","2227","12/12/1995","92976","24","3874","A"
"5414","2228","29/3/1995","185952","48","3874","C"
"5415","2236","26/9/1996","139464","36","3874","D"
"5418","2245","16/1/1995","347952","48","7249","C"
"5419","2246","5/2/1997","415800","60","6930","C"
"5420","2247","24/2/1997","72504","24","3021","C"
"5428","2262","2/12/1998","230220","36","6395","C"
"5429","2268","18/7/1996","20196","36","561","C"
"5435","2279","1/6/1998","314688","48","6556","C"
"5445","2322","29/6/1996","46320","24","1930","A"
"5446","2334","4/8/1997","48312","24","2013","C"
"5447","2335","12/11/1997","541200","60","9020","D"
"5449","2343","4/11/1995","99336","24","4139","A"
"5450","2345","11/12/1994","199680","60","3328","C"
"5451","2350","11/5/1997","159744","48","3328","C"
"5452","2352","29/4/1996","49440","60","824","C"
"5453","2361","1/4/1995","156672","36","4352","A"
"5463","2413","6/10/1998","17952","12","1496","C"
"5464","2419","30/1/1995","95808","12","7984","A"
"5469","2445","26/12/1997","293160","60","4886","C"
"5470","2456","15/4/1996","200976","48","4187","C"
"5479","2486","10/1/1994","24516","12","2043","A"
"5482","2496","12/1/1996","165120","60","2752","C"
"5486","2516","13/6/1997","466608","48","9721","C"
"5491","2545","13/2/1998","428784","48","8933","C"
"5494","2572","13/6/1996","360000","48","7500","C"
"5495","2580","2/8/1996","89340","60","1489","C"
"5501","2622","21/5/1998","136344","24","5681","C"
"5519","2694","8/3/1994","91632","12","7636","A"
"5520","2699","30/8/1998","231168","48","4816","C"
"5523","2705","8/12/1993","93888","36","2608","A"
"5525","2720","27/4/1998","93888","36","2608","C"
"5526","2725","8/11/1998","69624","36","1934","C"
"5527","2728","15/6/1998","156420","60","2607","C"
"5531","2753","30/9/1997","66432","24","2768","C"
"5532","2754","4/5/1997","335280","48","6985","C"
"5533","2762","5/7/1994","111384","24","4641","A"
"5549","2824","16/7/1994","50460","60","841","C"
"5556","2872","19/5/1997","268320","60","4472","C"
"5561","2910","29/8/1998","437460","60","7291","C"
"5563","2912","29/2/1996","380160","60","6336","C"
"5568","2933","17/5/1994","272520","60","4542","C"
"5569","2936","20/1/1998","504000","60","8400","C"
"5576","2962","21/12/1994","31248","12","2604","A"
"5582","2982","17/4/1998","41256","12","3438","C"
"5584","2986","6/12/1997","24792","24","1033","C"
"5585","2988","8/7/1998","88608","12","7384","C"
"5586","2994","14/9/1996","48744","36","1354","C"
"5589","3005","5/6/1998","390000","48","8125","C"
"5591","3021","4/12/1996","155616","48","3242","C"
"5593","3037","18/4/1996","277884","36","7719","D"
"5595","3050","2/9/1994","82896","12","6908","A"
"5599","3064","21/3/1995","15420","12","1285","A"
"5606","3084","28/8/1996","253512","36","7042","D"
"5610","3112","24/2/1996","123216","48","2567","C"
"5611","3115","15/11/1996","321180","60","5353","C"
"5614","3137","21/9/1998","253560","60","4226","C"
"5616","3143","15/5/1998","130896","24","5454","C"
"5620","3161","16/6/1998","30012","12","2501","C"
"5624","3166","3/1/1995","177744","48","3703","D"
"5625","3189","15/12/1996","222180","60","3703","D"
"5634","3229","1/5/1997","39024","12","3252","A"
"5635","3230","4/10/1996","77184","36","2144","C"
"5638","3249","27/8/1997","68124","12","5677","A"
"5643","3273","21/9/1997","94512","12","7876","B"
"5644","3293","27/11/1998","276084","36","7669","C"
"5651","3329","8/12/1997","19248","12","1604","A"
"5656","3353","9/2/1997","146064","24","6086","C"
"5657","3354","5/7/1994","4980","12","415","A"
"5665","3390","11/3/1998","40632","12","3386","C"
"5669","3403","27/6/1998","71820","36","1995","C"
"5674","3418","10/6/1997","207264","48","4318","C"
"5681","3448","20/10/1997","68664","24","2861","C"
"5682","3455","7/3/1997","67464","12","5622","A"
"5683","3460","29/5/1998","140688","48","2931","C"
"5693","3489","1/8/1995","44088","24","1837","A"
"5698","3556","22/9/1998","174840","60","2914","C"
"5699","3562","24/5/1998","174960","24","7290","C"
"5706","3608","24/5/1996","161496","36","4486","C"
"5713","3629","30/5/1995","158760","60","2646","C"
"5718","3637","1/9/1997","14028","12","1169","A"
"5719","3664","20/9/1997","271584","48","5658","C"
"5723","3674","10/9/1994","23628","12","1969","A"
"5724","3678","5/2/1995","316140","60","5269","D"
"5725","3679","23/7/1996","444864","48","9268","C"
"5731","3711","5/11/1997","460980","60","7683","D"
"5739","3747","2/1/1995","76380","12","6365","A"
"5740","3752","2/4/1995","18564","12","1547","A"
"5741","3754","3/11/1996","68544","24","2856","A"
"5750","3804","8/2/1996","63252","12","5271","A"
"5754","3834","28/9/1994","23052","12","1921","A"
"5758","3859","2/5/1997","307200","60","5120","D"
"5760","3862","18/9/1998","74916","36","2081","C"
"5765","3875","10/2/1998","153936","24","6414","C"
"5772","3906","8/3/1998","334620","60","5577","C"
"5773","3907","16/3/1998","133848","24","5577","C"
"5774","3916","12/7/1998","96984","36","2694","C"
"5779","3942","14/10/1997","107352","36","2982","C"
"5782","3953","4/1/1998","63576","12","5298","C"
"5784","3967","29/3/1997","84600","36","2350","D"
"5790","4033","20/3/1997","84288","48","1756","C"
"5799","4052","28/12/1997","106128","36","2948","C"
"5804","4079","5/4/1995","158976","48","3312","C"
"5805","4081","28/11/1995","137904","24","5746","B"
"5808","4099","31/7/1997","41856","48","872","C"
"5815","4116","3/6/1998","151200","36","4200","C"
"5817","4127","15/8/1997","100800","24","4200","D"
"5823","4144","21/6/1998","212976","36","5916","C"
"5830","4190","28/8/1997","405780","60","6763","C"
"5836","4259","27/8/1994","79632","24","3318","A"
"5837","4260","29/6/1994","244560","60","4076","C"
"5841","4268","4/11/1998","41988","12","3499","C"
"5850","4293","22/5/1997","164196","36","4561","C"
"5856","4320","9/8/1997","51360","12","4280","B"
"5861","4337","8/12/1994","51408","24","2142","A"
"5862","4342","9/12/1997","100128","24","4172","C"
"5865","4354","30/10/1998","327660","60","5461","C"
"5868","4361","29/3/1997","90156","12","7513","A"
"5876","4413","8/2/1995","221280","48","4610","C"
"5877","4414","23/2/1995","97224","24","4051","A"
"5878","4415","1/4/1997","74040","12","6170","A"
"5880","4423","31/10/1995","73836","36","2051","A"
"5882","4427","26/9/1994","87816","12","7318","A"
"5886","4447","31/10/1996","192744","36","5354","C"
"5887","4448","3/10/1994","192744","36","5354","A"
"5889","4456","9/2/1998","321240","60","5354","C"
"5892","4462","14/5/1996","66480","24","2770","B"
"5893","4467","3/8/1998","86184","36","2394","C"
"5895","4473","3/1/1997","93960","60","1566","C"
"5897","4476","25/9/1996","15192","24","633","A"
"5900","4503","1/1/1996","135360","48","2820","C"
"5906","4533","5/5/1998","81144","36","2254","C"
"5909","4550","3/1/1998","61320","60","1022","C"
"5918","4576","4/6/1994","300204","36","8339","A"
"5922","4580","5/8/1995","20220","12","1685","A"
"5923","4585","10/10/1996","64656","48","1347","C"
"5930","4616","12/1/1998","66696","24","2779","C"
"5931","4618","17/3/1997","66696","24","2779","D"
"5932","4626","18/6/1997","33348","12","2779","A"
"5933","4631","13/12/1997","87528","24","3647","C"
"5938","4650","25/8/1996","402000","60","6700","C"
"5940","4660","28/5/1997","106944","24","4456","C"
"5942","4681","15/3/1997","162624","48","3388","C"
"5953","4715","14/3/1997","97176","24","4049","C"
"5956","4725","4/11/1997","168264","36","4674","C"
"5959","4727","11/8/1995","107640","24","4485","A"
"5963","4746","7/9/1997","204780","60","3413","C"
"5970","4774","9/7/1995","465072","48","9689","C"
"5973","4784","24/11/1997","219456","48","4572","C"
"5976","4794","27/12/1997","465504","48","9698","D"
"5977","4803","25/2/1997","59136","48","1232","C"
"5980","4825","18/8/1995","21396","12","1783","A"
"5988","4851","22/8/1996","141648","24","5902","A"
"5989","4852","4/3/1996","213300","36","5925","C"
"5991","4858","27/7/1998","335184","48","6983","D"
"5992","4863","18/3/1997","76080","12","6340","A"
"5997","4894","4/11/1993","117024","24","4876","A"
"5999","4907","3/1/1996","98832","48","2059","C"
"6004","4937","23/7/1994","143904","24","5996","A"
"6006","4948","15/11/1996","359760","60","5996","C"
"6007","4949","30/8/1997","289920","48","6040","C"
"6010","4969","6/3/1997","150180","60","2503","C"
"6011","4981","28/11/1996","179328","48","3736","C"
"6012","4994","3/8/1996","258444","36","7179","C"
"6013","4995","3/2/1996","128988","36","3583","D"
"6014","4999","18/5/1997","165168","36","4588","C"
"6015","5001","9/11/1996","110112","24","4588","A"
"6019","5033","25/7/1996","11400","12","950","A"
"6027","5066","10/2/1996","61656","24","2569","B"
"6028","5072","9/2/1997","317520","60","5292","C"
"6037","5118","4/5/1997","53232","48","1109","C"
"6038","5120","10/8/1994","323472","48","6739","A"
"6043","5126","11/1/1996","20352","48","424","C"
"6044","5133","27/1/1998","57060","12","4755","C"
"6052","5164","23/3/1998","22356","36","621","C"
"6054","5180","16/7/1998","58764","12","4897","C"
"6055","5181","28/4/1997","399120","60","6652","C"
"6059","5196","28/12/1997","79824","12","6652","A"
"6063","5213","25/4/1996","320976","48","6687","D"
"6064","5215","4/8/1994","14628","12","1219","A"
"6066","5228","11/7/1994","173808","24","7242","A"
"6072","5256","10/5/1994","193968","36","5388","A"
"6073","5263","12/11/1996","276300","60","4605","C"
"6075","5267","26/11/1997","129312","24","5388","D"
"6076","5269","2/2/1997","117420","60","1957","C"
"6077","5270","22/11/1993","79608","24","3317","A"
"6078","5283","9/9/1998","170832","48","3559","C"
"6083","5305","31/3/1998","240528","48","5011","C"
"6087","5313","27/2/1994","300660","60","5011","C"
"6088","5317","7/3/1997","90180","36","2505","C"
"6095","5358","24/1/1997","68340","60","1139","C"
"6097","5362","21/8/1997","202848","48","4226","C"
"6103","5385","7/4/1994","149340","60","2489","C"
"6104","5395","5/9/1997","158184","36","4394","C"
"6109","5422","3/6/1996","368880","60","6148","C"
"6111","5428","24/9/1993","174744","24","7281","B"
"6112","5442","17/6/1994","174744","24","7281","B"
"6113","5445","1/10/1997","78696","36","2186","C"
"6118","5477","4/10/1997","349392","48","7279","C"
"6120","5481","11/9/1994","209184","48","4358","A"
"6130","5541","18/7/1996","32640","48","680","C"
"6136","5572","19/4/1998","140880","60","2348","C"
"6137","5574","10/4/1996","44628","12","3719","A"
"6142","5591","21/1/1997","221880","60","3698","C"
"6144","5593","9/8/1996","44376","12","3698","A"
"6147","5602","28/12/1997","177504","48","3698","C"
"6150","5622","2/11/1994","83016","12","6918","A"
"6151","5628","25/4/1995","225420","60","3757","C"
"6153","5632","25/7/1995","285600","60","4760","C"
"6157","5650","10/7/1995","98592","24","4108","A"
"6168","5698","21/11/1998","99216","36","2756","C"
"6169","5700","16/3/1995","103680","60","1728","D"
"6173","5724","8/1/1997","232560","48","4845","C"
"6175","5735","21/2/1996","290700","60","4845","D"
"6178","5742","16/12/1995","232560","48","4845","C"
"6185","5774","28/11/1995","31176","24","1299","A"
"6190","5794","6/5/1996","123600","60","2060","C"
"6196","5837","14/9/1997","177804","36","4939","C"
"6202","5891","18/4/1994","65184","12","5432","A"
"6207","5912","23/6/1998","184620","60","3077","C"
"6210","5927","6/6/1994","87216","48","1817","B"
"6215","5944","18/6/1998","78720","48","1640","C"
"6216","5952","30/9/1994","141240","24","5885","A"
"6223","5991","3/11/1994","61056","48","1272","A"
"6227","6030","4/3/1995","28248","24","1177","A"
"6228","6034","1/12/1993","464520","60","7742","B"
"6229","6040","2/10/1994","11736","24","489","A"
"6232","6051","8/7/1994","276660","36","7685","B"
"6234","6061","28/5/1998","5148","12","429","C"
"6235","6062","19/4/1998","321360","60","5356","C"
"6237","6075","6/1/1998","407952","48","8499","D"
"6239","6083","28/9/1997","360864","48","7518","D"
"6242","6097","22/10/1997","26208","36","728","C"
"6244","6118","8/1/1995","270648","36","7518","B"
"6249","6138","30/7/1997","67608","24","2817","C"
"6253","6148","4/11/1994","59760","24","2490","A"
"6254","6157","28/12/1997","247920","48","5165","C"
"6255","6158","8/2/1997","247920","48","5165","D"
"6272","6226","20/12/1994","398640","60","6644","C"
"6278","6265","10/6/1997","87360","24","3640","C"
"6279","6273","7/6/1994","87360","24","3640","A"
"6283","6289","11/8/1996","85632","48","1784","C"
"6294","6353","12/2/1995","79920","60","1332","C"
"6296","6358","6/8/1996","270384","48","5633","C"
"6297","6363","25/10/1994","17508","12","1459","A"
"6302","6397","16/9/1996","181020","60","3017","C"
"6303","6400","12/2/1996","72408","24","3017","B"
"6306","6425","20/12/1994","36684","12","3057","A"
"6309","6434","11/11/1996","110136","24","4589","A"
"6310","6440","17/6/1997","34572","12","2881","A"
"6312","6453","17/5/1998","10944","36","304","C"
"6313","6461","15/6/1997","150912","36","4192","C"
"6315","6472","6/2/1995","43164","12","3597","A"
"6316","6473","26/5/1994","76908","12","6409","B"
"6320","6495","28/4/1998","104964","12","8747","C"
"6321","6505","8/10/1998","38496","12","3208","C"
"6322","6510","6/5/1997","76992","24","3208","C"
"6336","6555","31/3/1994","212400","36","5900","A"
"6338","6592","24/8/1997","390660","60","6511","C"
"6342","6609","12/11/1995","60156","36","1671","B"
"6346","6649","22/5/1997","100260","60","1671","C"
"6350","6678","9/7/1997","294384","48","6133","C"
"6353","6686","25/12/1997","116496","24","4854","C"
"6354","6688","23/10/1996","22968","36","638","C"
"6355","6699","24/9/1997","127200","48","2650","C"
"6356","6701","8/12/1993","95400","36","2650","A"
"6357","6706","12/7/1998","64860","60","1081","C"
"6358","6715","14/1/1995","137880","60","2298","D"
"6362","6738","31/10/1995","37908","12","3159","A"
"6377","6792","17/3/1997","17184","12","1432","A"
"6386","6856","30/4/1997","124344","36","3454","C"
"6399","6902","21/12/1997","49320","36","1370","C"
"6402","6922","6/12/1998","139488","24","5812","C"
"6403","6924","5/12/1995","194880","48","4060","C"
"6407","6930","26/5/1994","25944","24","1081","A"
"6415","6950","12/2/1997","475680","48","9910","C"
"6421","6985","25/7/1996","96768","36","2688","C"
"6435","7045","16/6/1997","288720","48","6015","C"
"6436","7049","22/5/1998","495180","60","8253","C"
"6437","7052","9/11/1997","63972","36","1777","D"
"6442","7082","8/2/1998","194160","48","4045","C"
"6450","7099","10/6/1998","234336","48","4882","C"
"6456","7123","9/12/1993","47016","12","3918","A"
"6460","7133","6/11/1994","48672","36","1352","A"
"6461","7136","19/9/1996","74124","36","2059","C"
"6464","7156","16/4/1998","49488","24","2062","C"
"6468","7176","30/11/1997","203940","60","3399","C"
"6469","7180","17/11/1998","99744","24","4156","C"
"6470","7181","17/5/1998","49872","12","4156","C"
"6471","7184","4/8/1996","155640","24","6485","A"
"6474","7190","6/6/1995","63360","60","1056","C"
"6486","7240","15/1/1998","152160","60","2536","C"
"6490","7262","10/2/1997","73260","60","1221","C"
"6495","7274","12/3/1998","49044","12","4087","C"
"6499","7401","5/1/1994","80952","24","3373","A"
"6501","7418","29/4/1996","30276","12","2523","B"
"6502","7424","8/12/1997","30276","12","2523","A"
"6508","7437","19/4/1998","110736","48","2307","C"
"6509","7445","15/3/1994","55368","24","2307","A"
"6512","7454","26/5/1994","63312","48","1319","A"
"6520","7485","16/3/1994","91200","24","3800","A"
"6526","7523","3/1/1995","288468","36","8013","A"
"6534","7542","19/10/1997","590820","60","9847","C"
"6535","7546","2/11/1995","41952","12","3496","A"
"6539","7559","11/7/1998","12792","12","1066","C"
"6540","7562","31/12/1995","309600","48","6450","C"
"6541","7565","17/8/1997","153504","48","3198","C"
"6544","7594","11/12/1997","130464","48","2718","C"
"6545","7606","12/12/1995","191880","60","3198","C"
"6546","7607","27/3/1995","31728","24","1322","A"
"6550","7614","18/5/1996","320592","48","6679","C"
"6552","7632","8/1/1998","170448","48","3551","C"
"6553","7636","26/1/1998","42384","12","3532","C"
"6554","7637","29/1/1997","390096","48","8127","C"
"6562","7674","21/3/1997","94488","24","3937","C"
"6568","7713","25/2/1998","220440","60","3674","C"
"6569","7721","28/5/1998","45456","12","3788","C"
"6571","7733","12/5/1998","140064","24","5836","C"
"6574","7745","20/12/1997","77544","36","2154","C"
"6577","7753","11/3/1994","51696","24","2154","A"
"6578","7765","11/12/1995","27984","12","2332","A"
"6580","7769","22/5/1994","196080","48","4085","A"
"6585","7795","29/10/1996","372120","60","6202","C"
"6589","7815","1/1/1996","189696","24","7904","A"
"6591","7819","2/2/1995","20832","48","434","C"
"6594","7824","28/9/1994","189696","24","7904","B"
"6596","7844","25/6/1994","91584","24","3816","A"
"6598","7857","18/1/1995","68112","12","5676","A"
"6599","7859","19/11/1996","72120","12","6010","A"
"6600","7861","8/10/1995","21852","36","607","A"
"6605","7890","14/10/1997","79344","48","1653","C"
"6607","7894","21/10/1997","153144","36","4254","C"
"6612","7907","31/8/1997","97392","12","8116","A"
"6613","7926","22/9/1996","84120","24","3505","A"
"6621","7957","14/6/1997","42900","12","3575","A"
"6624","7965","30/9/1994","71460","12","5955","A"
"6625","7966","7/9/1997","473280","60","7888","D"
"6632","7990","23/4/1998","144960","48","3020","C"
"6633","7997","5/2/1998","160656","24","6694","C"
"6641","8026","9/9/1997","128268","36","3563","C"
"6642","8027","5/6/1994","77640","12","6470","A"
"6643","8038","18/1/1998","35856","24","1494","C"
"6644","8039","20/10/1996","93600","24","3900","A"
"6645","8041","6/11/1994","140400","36","3900","A"
"6647","8051","1/6/1994","208320","48","4340","A"
"6650","8073","17/2/1994","49320","12","4110","B"
"6655","8085","17/10/1997","260400","60","4340","D"
"6659","8092","20/2/1996","56100","60","935","C"
"6660","8094","9/5/1997","220428","36","6123","C"
"6665","8114","15/8/1997","99300","60","1655","C"
"6667","8127","15/7/1996","155880","24","6495","A"
"6668","8129","30/7/1994","74736","36","2076","A"
"6675","8158","1/11/1997","238716","36","6631","C"
"6676","8159","13/6/1995","29784","24","1241","A"
"6677","8169","12/8/1997","97980","60","1633","C"
"6678","8173","20/5/1994","80340","12","6695","A"
"6682","8225","30/3/1998","36204","12","3017","D"
"6686","8260","25/8/1994","224604","36","6239","A"
"6687","8261","13/9/1993","87840","24","3660","A"
"6688","8268","26/9/1997","8616","24","359","C"
"6694","8316","19/3/1995","134784","24","5616","A"
"6695","8320","4/6/1997","309660","60","5161","C"
"6696","8321","9/5/1994","89040","60","1484","C"
"6698","8327","10/3/1996","247728","48","5161","C"
"6699","8330","30/3/1994","7656","24","319","A"
"6704","8377","1/6/1995","417060","60","6951","C"
"6705","8381","25/7/1997","333648","48","6951","D"
"6712","8405","14/10/1995","266220","60","4437","C"
"6715","8411","6/5/1996","220620","60","3677","C"
"6721","8475","21/1/1994","21072","24","878","A"
"6725","8489","23/6/1995","265320","36","7370","A"
"6726","8492","3/9/1995","85860","60","1431","C"
"6727","8505","10/12/1997","42840","12","3570","A"
"6729","8519","11/8/1994","74688","12","6224","A"
"6730","8523","15/2/1998","93036","12","7753","C"
"6732","8533","19/9/1996","174048","48","3626","C"
"6734","8547","30/5/1996","173016","36","4806","C"
"6736","8558","14/6/1994","288360","60","4806","C"
"6737","8564","11/3/1995","76680","24","3195","A"
"6738","8566","29/9/1994","230220","36","6395","B"
"6745","8625","10/4/1995","47304","24","1971","A"
"6746","8639","6/6/1998","185640","60","3094","C"
"6748","8645","8/12/1998","240900","60","4015","C"
"6751","8680","14/7/1996","85716","36","2381","C"
"6753","8688","20/3/1997","67980","12","5665","A"
"6755","8713","24/7/1998","170700","60","2845","C"
"6758","8742","29/7/1997","33144","12","2762","A"
"6763","8772","19/6/1997","88272","48","1839","C"
"6764","8776","26/8/1995","33984","48","708","C"
"6766","8784","28/4/1998","74352","24","3098","C"
"6785","8899","25/12/1995","125340","60","2089","C"
"6790","8919","8/6/1998","76104","24","3171","C"
"6791","8926","23/1/1998","566640","60","9444","C"
"6793","8931","30/1/1997","186300","60","3105","C"
"6805","8972","21/12/1996","45024","48","938","C"
"6808","8982","12/10/1994","227880","36","6330","A"
"6810","9006","8/6/1996","186384","48","3883","C"
"6816","9017","26/3/1996","100224","48","2088","D"
"6817","9024","4/10/1996","70656","48","1472","C"
"6818","9030","12/12/1996","155616","48","3242","C"
"6819","9031","3/5/1997","50112","24","2088","C"
"6820","9034","16/12/1993","38148","12","3179","A"
"6821","9037","15/9/1998","321936","48","6707","C"
"6824","9052","26/2/1997","71976","24","2999","D"
"6836","9093","3/8/1994","189300","60","3155","C"
"6841","9104","7/8/1994","172080","48","3585","A"
"6851","9138","3/6/1997","272220","60","4537","D"
"6852","9140","10/11/1998","16032","48","334","C"
"6855","9153","1/3/1998","52236","36","1451","C"
"6856","9156","1/12/1998","163332","36","4537","C"
"6857","9159","8/6/1998","69600","48","1450","C"
"6859","9167","7/3/1998","272220","60","4537","C"
"6861","9179","28/2/1998","215040","60","3584","C"
"6863","9188","28/7/1993","127080","60","2118","A"
"6865","9199","11/9/1996","29448","12","2454","B"
"6866","9201","5/2/1998","122472","24","5103","C"
"6868","9208","12/10/1998","82128","24","3422","C"
"6871","9225","13/4/1997","164256","48","3422","C"
"6872","9227","29/4/1998","191580","60","3193","C"
"6875","9235","13/3/1997","83280","48","1735","C"
"6876","9236","21/12/1993","86616","12","7218","A"
"6877","9241","19/6/1997","285240","60","4754","C"
"6878","9242","24/1/1997","23184","12","1932","A"
"6887","9263","8/5/1997","39576","12","3298","A"
"6888","9265","11/7/1994","39576","12","3298","A"
"6895","9307","19/9/1994","41904","12","3492","A"
"6903","9337","4/6/1994","52128","24","2172","A"
"6908","9353","8/6/1997","188616","24","7859","C"
"6913","9377","29/4/1997","99936","24","4164","C"
"6919","9403","5/8/1994","120888","36","3358","A"
"6921","9422","29/10/1996","86184","12","7182","A"
"6922","9424","26/8/1997","83628","36","2323","C"
"6923","9433","5/10/1998","44640","24","1860","C"
"6926","9455","7/2/1998","374760","60","6246","C"
