"account_id","district_id","frequency","date"
"204","67","POPLATEK MESICNE","13/1/1996"
"205","1","POPLATEK MESICNE","8/10/1997"
"206","61","POPLATEK MESICNE","8/4/1995"
"207","2","POPLATEK MESICNE","25/7/1993"
"208","54","POPLATEK MESICNE","27/3/1996"
"209","37","POPLATEK MESICNE","24/11/1996"
"210","48","POPLATEK MESICNE","17/3/1996"
"211","28","POPLATEK MESICNE","19/7/1997"
"212","27","POPLATEK TYDNE","20/1/1993"
"213","73","POPLATEK MESICNE","29/8/1995"
"214","22","POPLATEK MESICNE","9/3/1997"
"215","31","POPLATEK MESICNE","25/11/1997"
"216","38","POPLATEK MESICNE","16/5/1994"
"217","77","POPLATEK MESICNE","20/1/1995"
"218","68","POPLATEK MESICNE","6/2/1996"
"219","28","POPLATEK MESICNE","6/9/1995"
"220","72","POPLATEK MESICNE","9/4/1993"
"221","19","POPLATEK MESICNE","30/10/1996"
"222","37","POPLATEK MESICNE","15/3/1993"
"223","39","POPLATEK MESICNE","13/6/1995"
"224","15","POPLATEK MESICNE","27/10/1996"
"225","1","POPLATEK MESICNE","28/7/1993"
"226","70","POPLATEK MESICNE","23/2/1997"
"227","27","POPLATEK MESICNE","28/3/1995"
"228","5","POPLATEK MESICNE","28/9/1993"
"229","1","POPLATEK MESICNE","7/6/1997"
"230","1","POPLATEK MESICNE","26/2/1996"
"231","22","POPLATEK MESICNE","3/4/1995"
"232","45","POPLATEK MESICNE","29/11/1997"
"234","73","POPLATEK MESICNE","15/7/1993"
"235","41","POPLATEK MESICNE","6/10/1993"
"236","72","POPLATEK MESICNE","16/3/1996"
"237","50","POPLATEK MESICNE","25/3/1994"
"238","6","POPLATEK MESICNE","15/8/1993"
"239","69","POPLATEK TYDNE","1/3/1993"
"240","72","POPLATEK MESICNE","28/4/1997"
"241","15","POPLATEK MESICNE","29/9/1996"
"242","69","POPLATEK MESICNE","29/8/1996"
"243","55","POPLATEK TYDNE","6/11/1993"
"244","24","POPLATEK MESICNE","8/2/1993"
"245","65","POPLATEK MESICNE","25/11/1993"
"246","65","POPLATEK MESICNE","20/12/1997"
"248","1","POPLATEK MESICNE","2/4/1995"
"249","28","POPLATEK MESICNE","3/12/1996"
"250","56","POPLATEK MESICNE","10/5/1997"
"251","74","POPLATEK MESICNE","6/4/1996"
"252","19","POPLATEK MESICNE","26/12/1996"
"253","46","POPLATEK MESICNE","5/12/1995"
"255","68","POPLATEK MESICNE","3/11/1996"
"256","37","POPLATEK MESICNE","14/5/1995"
"257","11","POPLATEK MESICNE","5/11/1995"
"258","64","POPLATEK MESICNE","9/7/1997"
"259","2","POPLATEK MESICNE","28/10/1993"
"260","24","POPLATEK MESICNE","14/10/1995"
"261","54","POPLATEK MESICNE","7/10/1996"
"262","75","POPLATEK MESICNE","27/1/1996"
"263","64","POPLATEK TYDNE","3/1/1997"
"264","15","POPLATEK MESICNE","9/2/1996"
"265","19","POPLATEK MESICNE","5/7/1996"
"266","47","POPLATEK MESICNE","11/5/1994"
"267","38","POPLATEK MESICNE","26/4/1995"
"268","3","POPLATEK MESICNE","29/5/1996"
"269","3","POPLATEK MESICNE","30/8/1996"
"270","27","POPLATEK MESICNE","23/1/1995"
"271","1","POPLATEK MESICNE","13/8/1996"
"272","11","POPLATEK MESICNE","23/10/1996"
"273","24","POPLATEK PO OBRATU","11/7/1993"
"274","76","POPLATEK MESICNE","20/8/1993"
"275","29","POPLATEK MESICNE","2/1/1996"
"276","38","POPLATEK MESICNE","8/12/1997"
"277","32","POPLATEK PO OBRATU","1/5/1994"
"278","73","POPLATEK MESICNE","8/4/1996"
"279","39","POPLATEK MESICNE","14/4/1993"
"280","25","POPLATEK MESICNE","23/1/1993"
"281","1","POPLATEK MESICNE","27/10/1996"
"282","69","POPLATEK MESICNE","12/5/1997"
"283","44","POPLATEK MESICNE","18/4/1996"
"284","54","POPLATEK MESICNE","18/7/1997"
"285","17","POPLATEK MESICNE","8/5/1995"
"286","71","POPLATEK MESICNE","27/3/1996"
"287","16","POPLATEK MESICNE","27/10/1993"
"288","25","POPLATEK MESICNE","18/3/1995"
"289","1","POPLATEK MESICNE","17/3/1994"
"290","56","POPLATEK MESICNE","2/12/1993"
"291","7","POPLATEK MESICNE","8/6/1997"
"292","49","POPLATEK MESICNE","26/2/1997"
"293","1","POPLATEK MESICNE","4/5/1997"
"294","7","POPLATEK MESICNE","5/1/1997"
"295","66","POPLATEK MESICNE","23/11/1997"
"296","49","POPLATEK MESICNE","14/2/1996"
"297","74","POPLATEK MESICNE","8/9/1996"
"298","35","POPLATEK MESICNE","2/12/1997"
"299","77","POPLATEK MESICNE","5/4/1993"
"300","1","POPLATEK MESICNE","23/6/1993"
"301","60","POPLATEK MESICNE","10/9/1995"
"302","7","POPLATEK MESICNE","9/5/1996"
"303","71","POPLATEK MESICNE","25/7/1996"
"304","4","POPLATEK MESICNE","20/3/1997"
"305","34","POPLATEK MESICNE","18/10/1996"
"306","16","POPLATEK MESICNE","8/6/1993"
"307","26","POPLATEK MESICNE","7/8/1997"
"308","61","POPLATEK MESICNE","16/10/1995"
"309","14","POPLATEK MESICNE","25/4/1997"
"311","50","POPLATEK MESICNE","8/8/1997"
"312","41","POPLATEK MESICNE","3/1/1996"
"313","73","POPLATEK MESICNE","6/7/1996"
"314","15","POPLATEK PO OBRATU","26/1/1996"
"315","45","POPLATEK MESICNE","8/12/1997"
"316","62","POPLATEK MESICNE","8/5/1997"
"317","76","POPLATEK MESICNE","10/3/1993"
"318","36","POPLATEK MESICNE","16/9/1994"
"319","47","POPLATEK TYDNE","17/10/1995"
"320","47","POPLATEK MESICNE","23/1/1997"
"321","47","POPLATEK MESICNE","11/11/1993"
"322","1","POPLATEK MESICNE","20/2/1993"
"323","52","POPLATEK MESICNE","23/2/1997"
"324","1","POPLATEK MESICNE","23/8/1996"
"325","75","POPLATEK MESICNE","6/10/1996"
"326","61","POPLATEK MESICNE","6/8/1997"
"327","54","POPLATEK MESICNE","2/6/1993"
"328","1","POPLATEK MESICNE","18/9/1997"
"329","3","POPLATEK MESICNE","19/10/1996"
"330","42","POPLATEK MESICNE","24/11/1996"
"331","65","POPLATEK MESICNE","2/10/1995"
"332","36","POPLATEK MESICNE","12/1/1996"
"333","73","POPLATEK MESICNE","23/12/1996"
"334","1","POPLATEK MESICNE","24/5/1993"
"335","74","POPLATEK MESICNE","20/1/1996"
"336","62","POPLATEK MESICNE","16/10/1995"
"337","17","POPLATEK MESICNE","25/11/1995"
"338","49","POPLATEK MESICNE","18/11/1995"
"339","46","POPLATEK TYDNE","11/9/1996"
"340","1","POPLATEK MESICNE","3/11/1993"
"341","28","POPLATEK MESICNE","19/11/1996"
"342","64","POPLATEK MESICNE","13/10/1996"
"343","18","POPLATEK MESICNE","26/4/1994"
"344","54","POPLATEK MESICNE","1/12/1993"
"345","5","POPLATEK MESICNE","20/11/1993"
"346","37","POPLATEK MESICNE","11/1/1993"
"347","65","POPLATEK MESICNE","13/12/1993"
"348","25","POPLATEK MESICNE","15/11/1995"
"349","72","POPLATEK MESICNE","8/6/1997"
"350","47","POPLATEK MESICNE","13/10/1996"
"351","50","POPLATEK MESICNE","17/2/1997"
"352","39","POPLATEK MESICNE","4/7/1994"
"353","24","POPLATEK MESICNE","30/8/1995"
"354","59","POPLATEK MESICNE","28/10/1993"
"355","62","POPLATEK TYDNE","1/2/1996"
"356","70","POPLATEK MESICNE","12/3/1996"
"357","20","POPLATEK MESICNE","10/3/1996"
"358","12","POPLATEK MESICNE","9/12/1993"
"359","11","POPLATEK MESICNE","11/12/1994"
"360","32","POPLATEK MESICNE","14/5/1996"
"361","51","POPLATEK MESICNE","27/2/1993"
"362","15","POPLATEK MESICNE","4/4/1993"
"363","1","POPLATEK MESICNE","6/5/1994"
"364","1","POPLATEK MESICNE","20/1/1997"
"365","74","POPLATEK MESICNE","12/12/1993"
"366","1","POPLATEK MESICNE","23/10/1996"
"367","23","POPLATEK MESICNE","9/5/1997"
"368","77","POPLATEK MESICNE","6/7/1993"
"370","25","POPLATEK MESICNE","18/2/1994"
"371","12","POPLATEK MESICNE","2/8/1996"
"372","55","POPLATEK MESICNE","10/9/1995"
"373","67","POPLATEK MESICNE","20/6/1996"
"374","38","POPLATEK MESICNE","9/1/1993"
"375","68","POPLATEK MESICNE","7/6/1996"
"376","25","POPLATEK MESICNE","5/3/1995"
"377","70","POPLATEK MESICNE","19/8/1994"
"378","68","POPLATEK MESICNE","22/7/1996"
"379","32","POPLATEK MESICNE","18/5/1996"
"381","68","POPLATEK MESICNE","4/7/1993"
"382","14","POPLATEK MESICNE","16/8/1996"
"383","38","POPLATEK MESICNE","15/5/1997"
"384","24","POPLATEK TYDNE","14/9/1997"
"385","5","POPLATEK MESICNE","7/4/1993"
"386","1","POPLATEK MESICNE","11/8/1997"
"387","72","POPLATEK MESICNE","19/9/1997"
"388","59","POPLATEK MESICNE","11/2/1995"
"389","30","POPLATEK MESICNE","28/8/1993"
"390","44","POPLATEK MESICNE","16/2/1996"
"391","36","POPLATEK MESICNE","11/12/1993"
"392","1","POPLATEK MESICNE","14/7/1996"
"393","46","POPLATEK MESICNE","4/2/1995"
"395","1","POPLATEK MESICNE","12/3/1993"
"396","21","POPLATEK MESICNE","8/3/1993"
"397","11","POPLATEK MESICNE","26/10/1993"
"398","69","POPLATEK MESICNE","24/10/1997"
"399","1","POPLATEK MESICNE","27/8/1996"
"400","28","POPLATEK MESICNE","17/7/1993"
"401","32","POPLATEK MESICNE","18/1/1993"
"402","68","POPLATEK MESICNE","14/9/1997"
"403","1","POPLATEK MESICNE","29/7/1993"
"404","41","POPLATEK MESICNE","28/4/1995"
"405","55","POPLATEK MESICNE","13/3/1997"
"406","63","POPLATEK MESICNE","3/9/1996"
"407","72","POPLATEK TYDNE","18/4/1997"
"408","41","POPLATEK MESICNE","21/7/1993"
"409","1","POPLATEK MESICNE","11/6/1996"
"410","49","POPLATEK MESICNE","15/10/1996"
"411","70","POPLATEK MESICNE","5/2/1993"
"412","74","POPLATEK MESICNE","21/1/1996"
"413","18","POPLATEK MESICNE","9/7/1996"
"414","1","POPLATEK MESICNE","29/1/1996"
"415","25","POPLATEK MESICNE","3/3/1993"
"416","6","POPLATEK MESICNE","11/8/1996"
"417","73","POPLATEK MESICNE","27/1/1996"
"418","36","POPLATEK MESICNE","27/8/1995"
"419","13","POPLATEK MESICNE","25/10/1993"
"420","75","POPLATEK MESICNE","26/8/1995"
"421","75","POPLATEK MESICNE","27/11/1997"
"422","53","POPLATEK TYDNE","29/8/1994"
"423","12","POPLATEK MESICNE","28/3/1993"
"424","12","POPLATEK MESICNE","17/2/1997"
"425","9","POPLATEK MESICNE","19/3/1993"
"426","1","POPLATEK MESICNE","29/11/1993"
"427","8","POPLATEK MESICNE","24/7/1994"
"428","1","POPLATEK MESICNE","27/2/1993"
"429","63","POPLATEK MESICNE","3/9/1995"
"430","54","POPLATEK MESICNE","2/9/1995"
"431","18","POPLATEK MESICNE","5/11/1996"
"432","46","POPLATEK MESICNE","16/6/1993"
"433","20","POPLATEK MESICNE","12/6/1993"
"434","1","POPLATEK MESICNE","24/12/1996"
"435","38","POPLATEK MESICNE","8/1/1993"
"436","30","POPLATEK MESICNE","7/8/1996"
"437","43","POPLATEK MESICNE","3/12/1993"
"438","37","POPLATEK MESICNE","23/6/1997"
"439","69","POPLATEK MESICNE","15/4/1996"
"440","29","POPLATEK MESICNE","22/12/1996"
"441","27","POPLATEK TYDNE","17/12/1993"
"442","54","POPLATEK MESICNE","30/3/1997"
"443","64","POPLATEK MESICNE","28/1/1993"
"444","26","POPLATEK MESICNE","9/5/1996"
"445","63","POPLATEK TYDNE","29/7/1993"
"446","50","POPLATEK MESICNE","15/6/1993"
"447","5","POPLATEK MESICNE","14/8/1996"
"449","19","POPLATEK MESICNE","22/11/1994"
"450","59","POPLATEK MESICNE","28/5/1996"
"451","11","POPLATEK MESICNE","5/5/1994"
"452","63","POPLATEK MESICNE","29/11/1995"
"453","75","POPLATEK MESICNE","24/4/1997"
"454","7","POPLATEK MESICNE","7/5/1995"
"455","54","POPLATEK MESICNE","23/4/1995"
"456","49","POPLATEK MESICNE","21/1/1993"
"458","7","POPLATEK MESICNE","16/6/1995"
"459","47","POPLATEK MESICNE","21/1/1993"
"460","1","POPLATEK MESICNE","18/4/1994"
"461","30","POPLATEK MESICNE","18/2/1993"
"462","29","POPLATEK MESICNE","10/11/1993"
"463","51","POPLATEK MESICNE","8/5/1995"
"464","43","POPLATEK MESICNE","28/5/1997"
"465","32","POPLATEK MESICNE","4/2/1993"
"466","71","POPLATEK MESICNE","18/2/1996"
"467","74","POPLATEK MESICNE","24/9/1993"
"468","49","POPLATEK MESICNE","19/3/1996"
"469","72","POPLATEK MESICNE","14/7/1997"
"470","64","POPLATEK MESICNE","23/3/1994"
"471","47","POPLATEK MESICNE","7/6/1995"
"472","8","POPLATEK MESICNE","11/10/1996"
"473","73","POPLATEK MESICNE","20/10/1996"
"474","61","POPLATEK MESICNE","6/12/1995"
"475","3","POPLATEK MESICNE","11/5/1997"
"476","69","POPLATEK MESICNE","11/4/1997"
"477","1","POPLATEK MESICNE","25/1/1993"
"478","58","POPLATEK MESICNE","16/7/1994"
"479","1","POPLATEK MESICNE","5/11/1995"
"480","23","POPLATEK MESICNE","21/1/1997"
"481","72","POPLATEK MESICNE","23/4/1996"
"483","70","POPLATEK MESICNE","15/7/1997"
"484","1","POPLATEK MESICNE","20/1/1995"
"485","6","POPLATEK PO OBRATU","4/1/1993"
"486","33","POPLATEK MESICNE","21/11/1995"
"487","40","POPLATEK MESICNE","14/11/1995"
"488","25","POPLATEK MESICNE","20/6/1996"
"489","16","POPLATEK MESICNE","17/5/1993"
"490","45","POPLATEK MESICNE","23/5/1995"
"491","44","POPLATEK MESICNE","12/5/1996"
"492","5","POPLATEK MESICNE","10/10/1993"
"493","26","POPLATEK MESICNE","5/4/1994"
"494","60","POPLATEK MESICNE","11/3/1993"
"496","69","POPLATEK MESICNE","26/2/1993"
"497","55","POPLATEK MESICNE","15/4/1993"
"498","1","POPLATEK MESICNE","21/11/1993"
"500","56","POPLATEK MESICNE","27/4/1996"
"501","13","POPLATEK MESICNE","21/10/1995"
"502","1","POPLATEK MESICNE","13/10/1997"
"503","1","POPLATEK MESICNE","8/8/1996"
"504","73","POPLATEK MESICNE","21/4/1993"
"505","64","POPLATEK MESICNE","16/12/1996"
"506","67","POPLATEK MESICNE","8/7/1996"
"507","52","POPLATEK MESICNE","17/6/1996"
"508","74","POPLATEK MESICNE","19/11/1996"
"509","36","POPLATEK MESICNE","14/8/1997"
"510","1","POPLATEK TYDNE","2/6/1993"
"511","14","POPLATEK MESICNE","10/11/1996"
"512","68","POPLATEK MESICNE","14/1/1997"
"513","58","POPLATEK MESICNE","21/11/1996"
"514","70","POPLATEK MESICNE","30/3/1996"
"515","57","POPLATEK MESICNE","9/2/1995"
"516","6","POPLATEK MESICNE","8/2/1996"
"517","76","POPLATEK MESICNE","22/9/1993"
"518","74","POPLATEK MESICNE","9/9/1994"
"519","24","POPLATEK MESICNE","12/11/1993"
"520","60","POPLATEK MESICNE","4/11/1993"
"521","9","POPLATEK MESICNE","8/10/1995"
"522","17","POPLATEK MESICNE","20/12/1995"
"523","1","POPLATEK MESICNE","11/8/1993"
"524","61","POPLATEK MESICNE","3/5/1994"
"525","70","POPLATEK MESICNE","20/3/1996"
"526","67","POPLATEK MESICNE","16/7/1996"
"528","17","POPLATEK MESICNE","30/12/1996"
"529","39","POPLATEK MESICNE","18/8/1997"
"530","54","POPLATEK MESICNE","19/11/1996"
"531","31","POPLATEK MESICNE","18/8/1995"
"532","26","POPLATEK MESICNE","2/9/1995"
"533","40","POPLATEK MESICNE","7/5/1995"
"534","1","POPLATEK MESICNE","26/5/1997"
"535","35","POPLATEK MESICNE","24/5/1994"
"536","14","POPLATEK MESICNE","13/10/1996"
"537","34","POPLATEK MESICNE","8/1/1997"
"538","70","POPLATEK MESICNE","7/6/1994"
"539","13","POPLATEK PO OBRATU","16/2/1993"
"540","75","POPLATEK MESICNE","16/10/1993"
"541","61","POPLATEK MESICNE","12/8/1993"
"542","1","POPLATEK MESICNE","1/11/1993"
"543","64","POPLATEK MESICNE","3/5/1994"
"544","32","POPLATEK MESICNE","15/5/1995"
"545","54","POPLATEK MESICNE","24/11/1993"
"546","8","POPLATEK MESICNE","23/11/1996"
"547","24","POPLATEK MESICNE","27/7/1997"
"548","16","POPLATEK MESICNE","7/6/1994"
"549","5","POPLATEK MESICNE","27/11/1996"
"550","24","POPLATEK MESICNE","17/10/1997"
"551","77","POPLATEK MESICNE","7/5/1993"
"552","14","POPLATEK MESICNE","20/8/1993"
"553","26","POPLATEK MESICNE","6/6/1995"
"554","26","POPLATEK MESICNE","26/1/1996"
"555","24","POPLATEK MESICNE","15/5/1993"
"556","12","POPLATEK MESICNE","26/6/1997"
"557","1","POPLATEK MESICNE","26/11/1995"
"558","10","POPLATEK MESICNE","15/6/1996"
"559","46","POPLATEK MESICNE","5/3/1993"
"560","36","POPLATEK MESICNE","20/8/1995"
"561","11","POPLATEK MESICNE","12/12/1996"
"562","50","POPLATEK MESICNE","25/2/1993"
"563","53","POPLATEK MESICNE","27/7/1993"
"564","5","POPLATEK MESICNE","23/12/1997"
"565","39","POPLATEK MESICNE","25/11/1995"
"566","8","POPLATEK MESICNE","13/11/1997"
"567","15","POPLATEK MESICNE","19/6/1996"
"568","18","POPLATEK MESICNE","28/3/1995"
"569","76","POPLATEK MESICNE","1/10/1996"
"570","3","POPLATEK MESICNE","14/11/1996"
"571","72","POPLATEK MESICNE","16/7/1996"
"572","32","POPLATEK MESICNE","27/3/1994"
"573","1","POPLATEK TYDNE","11/7/1996"
"574","70","POPLATEK MESICNE","30/7/1993"
"575","38","POPLATEK MESICNE","26/4/1994"
"576","55","POPLATEK MESICNE","1/1/1993"
"577","29","POPLATEK MESICNE","20/9/1994"
"578","28","POPLATEK TYDNE","21/3/1997"
"579","1","POPLATEK MESICNE","16/12/1997"
"580","75","POPLATEK MESICNE","20/5/1996"
"581","26","POPLATEK MESICNE","13/10/1996"
"582","12","POPLATEK MESICNE","5/8/1994"
